State,Date,Temperature (C),Wind Speed (km/h),Humidity (%),Weather Type
Alabama,2025-04-15,6,31,87,Patchy rain possible
Alabama,2025-04-16,1,29,79,Light freezing rain
Alabama,2025-04-17,4,14,62,Sunny
Alabama,2025-04-18,13,17,65,Moderate rain at times
Alabama,2025-04-19,16,27,82,Moderate or heavy rain shower
Alabama,2025-04-20,6,12,68,Partly cloudy
Alabama,2025-04-21,11,22,63,Light rain shower
Alabama,2025-04-22,8,25,78,Overcast
Alaska,2025-04-15,29,22,49,Sunny
Alaska,2025-04-16,29,32,46,Sunny
Alaska,2025-04-17,29,11,53,Sunny
Alaska,2025-04-18,29,7,59,Overcast
Alaska,2025-04-19,28,8,59,Partly cloudy
Alaska,2025-04-20,27,8,62,Sunny
Alaska,2025-04-21,26,7,60,Sunny
Alaska,2025-04-22,28,8,66,Patchy rain possible
Arizona,2025-04-15,24,6,82,Patchy rain possible
Arizona,2025-04-16,23,7,87,Moderate or heavy rain shower
Arizona,2025-04-17,25,10,84,Heavy rain at times
Arizona,2025-04-18,25,10,77,Patchy rain possible
Arizona,2025-04-19,25,8,78,Moderate rain at times
Arizona,2025-04-20,25,8,82,Patchy rain possible
Arizona,2025-04-21,26,9,81,Patchy rain possible
Arizona,2025-04-22,26,8,84,Light rain shower
Arkansas,2025-04-15,13,10,49,Sunny
Arkansas,2025-04-16,17,27,55,Overcast
Arkansas,2025-04-17,23,34,74,Cloudy
Arkansas,2025-04-18,19,24,75,Overcast
Arkansas,2025-04-19,8,21,93,Moderate or heavy rain shower
Arkansas,2025-04-20,11,20,91,Moderate or heavy rain shower
Arkansas,2025-04-21,13,15,76,Mist
Arkansas,2025-04-22,19,24,67,Sunny
California,2025-04-15,19,13,41,Partly cloudy
California,2025-04-16,16,25,51,Overcast
California,2025-04-17,12,25,72,Patchy rain possible
California,2025-04-18,13,18,66,Sunny
California,2025-04-19,14,10,25,Sunny
California,2025-04-20,17,11,41,Sunny
California,2025-04-21,17,12,47,Partly cloudy
California,2025-04-22,18,16,41,Sunny
Colorado,2025-04-15,9,10,56,Overcast
Colorado,2025-04-16,14,9,43,Overcast
Colorado,2025-04-17,12,17,22,Sunny
Colorado,2025-04-18,-1,12,81,Patchy moderate snow
Colorado,2025-04-19,-3,9,84,Light freezing rain
Colorado,2025-04-20,4,7,51,Partly cloudy
Colorado,2025-04-21,11,14,36,Sunny
Colorado,2025-04-22,12,10,36,Overcast
Connecticut,2025-04-15,12,19,82,Overcast
Connecticut,2025-04-16,6,27,60,Patchy rain possible
Connecticut,2025-04-17,8,20,55,Sunny
Connecticut,2025-04-18,11,14,58,Overcast
Connecticut,2025-04-19,18,22,80,Overcast
Connecticut,2025-04-20,14,18,54,Overcast
Connecticut,2025-04-21,10,12,55,Overcast
Connecticut,2025-04-22,15,14,74,Moderate rain
Delaware,2025-04-15,8,29,68,Moderate rain at times
Delaware,2025-04-16,6,18,63,Sunny
